مزرعه,سن,واریته,روز,گروه,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4
01-22,R5,CP69,شنبه,1,3497950.354,289135.4045,3497981.714,288888.9045,3497031.634,288768.0345,3497000.274,289014.5345
01-28,P,CP69,شنبه,1,3497853.234,289898.7645,3497884.594,289652.2445,3496934.514,289531.3845,3496903.154,289777.8945
02-03,R2,CP69,شنبه,2,3498660.593,283967.2816,3498691.965,283720.7733,3497689.904,283593.2945,3497658.544,283839.8045
02-11,R3,CP69,شنبه,2,3498531.566,284981.0957,3498562.939,284734.5873,3497560.934,284607.1145,3497529.564,284853.6245
02-19,P,CP69,شنبه,2,3498660.593,283967.2816,3498691.965,283720.7733,3497689.904,283593.2945,3497658.544,283839.8045
02-27,P,CP69,شنبه,2,3498756.985,283209.8858,3498788.358,282963.3774,3497786.264,282835.8945,3497754.904,283082.4045
03-08,P,CP69,شنبه,1,3497159.134,287234.8645,3497190.494,286988.3545,3496240.414,286867.4845,3496209.054,287113.9945
03-16,R2,CP69,شنبه,1,3497030.5,288245.9635,3497061.514,288002.1845,3496111.434,287881.3145,3496080.419,288125.096
03-18,R4,CP69,شنبه,1,3496998.284,288499.1745,3497028.614,288260.8445,3496078.514,288139.9745,3496048.204,288378.3045
03-22,R3,CP69,شنبه,1,3496933.804,289006.0845,3496965.164,288759.5745,3496015.084,288638.7045,3495983.724,288885.2145
03-30,P,IR01-412,یکشنبه,1,3496804.824,290019.9145,3496836.184,289773.4045,3495886.104,289652.5345,3495854.744,289899.0445
03-32,P,IRC00-14,یکشنبه,1,3496773.094,290269.3067,3496803.554,290029.8345,3495853.474,289908.9645,3495822.547,290152.1318
04-01,R1,CP69,یکشنبه,2,3497332.854,285868.9345,3496382.774,285748.0645,3496350.844,285999.0445,3497300.924,286119.9145
04-03,R2,CP48,یکشنبه,2,3497334.114,285859.0145,3497365.474,285612.5045,3496415.394,285491.6345,3496384.034,285738.1445
04-05,R2,CP57,یکشنبه,2,3497365.984,285608.5245,3497397.344,285362.0045,3496447.264,285241.1345,3496415.904,285487.6545
04-11,P,CP73,شنبه,2,3497463.094,284845.1645,3497494.454,284598.6545,3496544.374,284477.7845,3496513.014,284724.2945
04-15,P,CP69,شنبه,2,3497527.584,284338.2545,3497557.904,284099.9245,3496607.824,283979.0545,3496577.504,284217.3845
05-01,R3,CP69,یکشنبه,1,3496265.494,286345.4745,3496298.114,286089.1045,3495347.994,285968.5045,3495315.414,286224.6045
05-06,R1,CP48,دوشنبه,1,3495182.474,286722.8245,3495213.844,286476.2945,3494263.764,286355.4245,3494232.394,286601.9545
05-07,R1,CP69,یکشنبه,1,3496168.384,287108.8245,3496199.744,286862.3145,3495249.664,286741.4445,3495218.304,286987.9545
05-10,R2,CP73,دوشنبه,1,3495117.984,287229.7245,3495149.354,286983.2145,3494199.274,286862.3445,3494167.904,287108.8545
05-11,R1,CP73,یکشنبه,1,3496103.894,287615.7345,3496135.254,287369.2245,3495185.174,287248.3545,3495153.814,287494.8645
05-15,R4,CP73,یکشنبه,1,3496039.751,288119.9137,3496070.764,287876.1445,3495120.684,287755.2745,3495089.67,287999.0535
05-16,P,CP65,دوشنبه,1,3495021.22,287990.3435,3495052.234,287746.5645,3494102.154,287625.6945,3494071.14,287869.4735
05-18,R2,CP69,دوشنبه,1,3494989.004,288243.5545,3495019.334,288005.2245,3494069.254,287884.3545,3494038.924,288122.6845
05-19,P,CP57,یکشنبه,1,3495974.914,288629.5645,3496006.274,288383.0545,3495056.194,288262.1845,3495024.834,288508.6945
05-20,R1,CP57,دوشنبه,1,3494956.384,288499.9845,3494987.744,288253.4745,3494037.664,288132.6045,3494006.304,288379.1145
05-22,P,CP73,دوشنبه,1,3494924.524,288750.4645,3494955.884,288503.9545,3494005.804,288383.0845,3493974.444,288629.5945
05-30,P,CP69,دوشنبه,1,3496804.824,290019.9145,3496836.184,289773.4045,3495886.104,289652.5345,3495854.744,289899.0445
06-02,R2,CP69,یکشنبه,2,3496310.174,285993.8745,3496342.104,285742.8945,3495392.024,285622.0245,3495360.094,285873.0046
06-03,R1,CP48,دوشنبه,2,3495324.834,285603.3945,3495356.194,285356.8845,3494406.114,285236.0145,3494374.754,285482.5245
06-04,R1,CP48,یکشنبه,2,3496343.364,285732.9745,3496374.724,285486.4645,3495424.644,285365.5945,3495393.284,285612.1045
06-05,R1,CP57,دوشنبه,2,3495356.704,285352.9045,3495388.064,285106.3845,3494437.984,284985.5145,3494406.624,285232.0345
06-10,P,CP73,یکشنبه,2,3496439.724,284975.5645,3496471.084,284729.0545,3495521.004,284608.1845,3495489.644,284854.6945
06-11,R1,CP73,دوشنبه,2,3495453.814,284589.5445,3495485.174,284343.0345,3494535.094,284222.1645,3494503.734,284468.6745
06-12,R2,CP73,یکشنبه,2,3496472.344,284719.1245,3496503.704,284472.6145,3495553.624,284351.7445,3495522.264,284598.2545
06-16,R3,CP69,دوشنبه,2,3496536.834,284212.2145,3496567.154,283973.8845,3495617.074,283853.0145,3495586.754,284091.3445
06-18,R1,CP69,دوشنبه,2,3496569.744,283953.5545,3496600.064,283715.2245,3495649.984,283594.3545,3495619.664,283832.6845
07-08,R2,CP48,سه شنبه,1,3494131.324,286849.6645,3494162.684,286603.1545,3493219.511,286483.1645,3493188.149,286729.6743
07-10,P,CP73,سه شنبه,1,3494099.454,287100.1445,3494130.814,286853.6345,3493187.644,286733.6449,3493156.283,286980.1548
07-12,R1,CP73,سه شنبه,1,3494066.834,287356.5745,3494098.194,287110.0645,3493155.021,286990.0745,3493123.66,287236.5843
07-18,P,CP69,سه شنبه,1,3493970.474,288113.9745,3494000.794,287875.6445,3493057.623,287755.6535,3493027.302,287993.9847
08-01,R2,CP48,دوشنبه,2,3494307.024,285483.9845,3493354.954,285362.8645,3493323.025,285613.8447,3494275.094,285734.9645
08-09,R1,CP73,دوشنبه,2,3494404.644,284716.6545,3494436.004,284470.1445,3493483.934,284349.0245,3493452.574,284595.5345
08-17,R4,CP69,سه شنبه,2,3494534.664,283694.6545,3494564.984,283456.3245,3493612.914,283335.1945,3493582.594,283573.5345
08-19,P,CP73,سه شنبه,2,3494566.244,283446.4045,3494597.604,283199.8945,3493645.534,283078.7645,3493614.174,283325.2745
08-25,P,CP69,سه شنبه,2,3494662.604,282689.0045,3494693.964,282442.4945,3493741.894,282321.3645,3493710.534,282567.8745
09-04,R4,CP69,چهارشنبه,1,3493179.269,286213.4265,3493210.635,285966.926,3492249.577,285844.6564,3492218.216,286091.1577
09-08,R1,CP48,چهارشنبه,1,3493114.774,286720.3445,3493146.134,286473.8245,3492185.086,286351.5663,3492153.725,286598.0761
09-14,R2,CP73,سه شنبه,1,3493018.422,287477.7452,3493049.784,287231.2245,3492088.729,287108.9554,3492057.366,287355.476
09-16,R4,CP73,سه شنبه,1,3492986.144,287731.4445,3493017.154,287487.6645,3492056.104,287365.396,3492025.089,287609.1793
09-20,P,CP57,سه شنبه,1,3492921.304,288241.0845,3492952.664,287994.5745,3491991.614,287872.306,3491960.252,288118.8158
10-01,R1,CP48,سه شنبه,2,3493256.564,285605.3945,3493288.494,285354.4145,3492327.475,285232.1499,3492295.544,285483.1298
10-11,R2,CP73,سه شنبه,2,3493418.734,284330.6445,3493450.104,284084.1345,3492489.076,283961.8701,3492457.715,284208.38
10-13,R1,CP73,سه شنبه,2,3493450.604,284080.1645,3493481.964,283833.6545,3492520.941,283711.3895,3492489.581,283957.8994
10-15,P,CP69,سه شنبه,2,3493483.224,283823.7345,3493513.544,283585.4045,3492552.523,283463.1397,3492522.203,283701.4697
10-23,R1,CP69,سه شنبه,2,3493612.204,282809.9045,3493643.564,282563.3945,3492682.541,282441.1294,3492651.18,282687.6394
11-06,R5,CP69,پنجشنبه,1,3492122.894,286333.5845,3492154.254,286087.0545,3491223.024,285968.5845,3491191.654,286215.1145
11-12,P,CP73,پنجشنبه,1,3492025.784,287096.9145,3492057.144,286850.4045,3491125.904,286731.9345,3491094.544,286978.4445
11-16,R1,CP69,چهارشنبه,1,3491961.634,287601.1045,3491992.654,287357.3245,3491061.414,287238.8545,3491030.404,287482.6345
11-18,R2,CP69,چهارشنبه,1,3491929.424,287854.3145,3491959.744,287615.9845,3491028.514,287497.5145,3490998.194,287735.8445
11-20,R2,CP57,چهارشنبه,1,3491896.804,288110.7445,3491928.164,287864.2345,3490996.924,287745.7645,3490965.564,287992.2745
11-22,R3,CP73,چهارشنبه,1,3491864.934,288361.2245,3491896.294,288114.7145,3490965.064,287996.2445,3490933.704,288242.7545
11-26,R3,CP69,چهارشنبه,1,3491800.444,288868.1445,3491831.804,288621.6345,3490900.574,288503.1645,3490869.214,288749.6745
12-04,R2,CP48,چهارشنبه,2,3492288.074,285217.0845,3492319.434,284970.5745,3491365.384,284849.1945,3491334.014,285095.7045
12-06,R2,CP73,چهارشنبه,2,3492319.934,284966.5945,3492351.304,284720.0745,3491397.254,284598.6945,3491365.884,284845.2145
12-12,R1,CP73,چهارشنبه,2,3491410.095,283832.1818,3491442.91,283574.2608,3490503.744,283454.7745,3490470.93,283712.6955
12-13,R1,CP69,چهارشنبه,2,3490484,283713,3490517,283457,3491405,283570,3491369,283831
12-15,R5,CP69,چهارشنبه,2,3491444.172,283564.3411,3491474.492,283326.0112,3490535.324,283206.5245,3490505.004,283444.8545
12-21,R2,CP69,چهارشنبه,2,3491555.414,282808.8545,3491586.774,282562.3445,3490632.724,282440.9645,3490601.364,282687.4745
12-24,P,CP69,چهارشنبه,2,3492610.534,282682.5045,3492641.904,282435.9945,3491687.844,282314.6145,3491656.484,282561.1245
12-27,P,CP65,چهارشنبه,2,3491652.534,282045.5045,3491699.763,281674.2412,3491565.842,281673.1197,3491263.392,281749.054
13-04,R4,CP69,پنجشنبه,1,3491145.146,285954.6534,3491176.508,285708.1336,3490247.228,285589.913,3490215.866,285836.4327
13-10,R6,CP69,پنجشنبه,1,3491048.793,286712.033,3491080.152,286465.5328,3490150.873,286347.3024,3490119.511,286593.8121
13-22,R2,CP73,پنجشنبه,1,3490855.325,288232.7831,3490886.685,287986.2733,3489957.402,287868.0522,3489926.042,288114.5523
14-02,R5,CP69,شنبه,4,3490237.653,285221.3444,3490269.584,284970.3645,3489315.534,284848.9845,3489283.604,285099.9645
14-07,R2,CP57,شنبه,4,3489312.844,284323.4245,3489344.204,284076.9145,3488390.154,283955.5345,3488358.794,284202.0445
14-09,R2,CP73,شنبه,4,3489344.714,284072.9445,3489376.074,283826.4345,3488422.024,283705.0545,3488390.664,283951.5745
14-16,R5,CP69,شنبه,4,3490464.334,283439.6845,3490494.654,283201.3545,3489540.604,283079.9745,3489510.284,283318.3045
14-18,P,CP65,شنبه,4,3490497.234,283181.0245,3490527.564,282942.6945,3489573.514,282821.3145,3489543.184,283059.6445
14-19,P,CP73,شنبه,4,3489506.324,282802.6845,3489537.684,282556.1745,3488583.634,282434.7945,3488552.274,282681.3045
14-21,P,IR01-412,شنبه,4,3489538.194,282552.2045,3489569.554,282305.6945,3488615.504,282184.3145,3488584.144,282430.8245
14-24,P,CP69,شنبه,4,3490593.314,282425.8545,3490624.684,282179.3445,3489670.634,282057.9645,3489639.264,282304.4745
15-03,R2,CP69,شنبه,3,3490160.354,285829.3645,3490191.714,285582.8545,3489237.664,285461.4845,3489206.304,285707.9945
15-04,P,CP69,شنبه,3,3489137.854,285699.2845,3489169.214,285452.7745,3488215.164,285331.3945,3488183.804,285577.9045
15-07,R2,CP48,شنبه,3,3490095.864,286336.2745,3490127.224,286089.7645,3489173.174,285968.3945,3489141.814,286214.9045
15-08,R1,CP65,یکشنبه,3,3489073.364,286206.1945,3489104.724,285959.6845,3488150.674,285838.3045,3488119.314,286084.8145
15-10,R1,CP73,یکشنبه,3,3489041.504,286456.6745,3489072.864,286210.1645,3488118.814,286088.7845,3488087.454,286335.2945
15-11,R2,CP73,شنبه,3,3490031.374,286843.1845,3490062.734,286596.6745,3489108.694,286475.3045,3489077.324,286721.8145
15-12,P,CP73,یکشنبه,3,3489008.874,286713.1045,3489040.234,286466.5945,3488086.184,286345.2145,3488054.824,286591.7345
15-17,R3,CP69,شنبه,3,3489935.024,287600.5845,3489965.344,287362.2545,3489011.294,287240.8745,3488980.974,287479.2045
15-22,P,CP57,یکشنبه,3,3488848.034,287977.4145,3488879.394,287730.9045,3487925.344,287609.5245,3487893.984,287856.0345
15-24,R4,CP73,یکشنبه,3,3488815.404,288233.8545,3488846.764,287987.3445,3487892.714,287865.9645,3487861.354,288112.4845
15-25,R4,CP69,شنبه,3,3489806.044,288614.4145,3489837.404,288367.9045,3488883.354,288246.5345,3488851.994,288493.0345
15-27,R8,CP69,شنبه,3,3488783.544,288484.3345,3488814.904,288237.8245,3487860.854,288116.4445,3487829.494,288362.9545
16-01,P,CP48,یکشنبه,4,3487230.754,284583.7545,3486278.094,284462.5645,3486246.278,284713.5486,3487198.834,284834.7345
16-03,R1,CP48,یکشنبه,4,3487232.024,284573.8345,3487263.384,284327.3245,3486310.724,284206.1245,3486279.364,284452.6345
16-04,R1,CP48,یکشنبه,4,3488253.134,284703.7345,3488284.494,284457.2245,3487334.834,284336.0345,3487300.474,284582.5445
16-07,R1,CP57,یکشنبه,4,3487296.514,284066.9045,3487327.874,283820.3945,3486375.214,283699.1945,3486343.854,283945.7045
16-09,R1,CP73,یکشنبه,4,3487328.374,283816.4245,3487359.744,283569.9145,3486407.084,283448.7145,3486375.714,283695.2245
16-10,R2,CP73,یکشنبه,4,3488349.484,283946.3345,3488380.854,283699.8245,3487428.184,283578.6245,3487396.824,283825.1345
16-13,P,CP73,دوشنبه,4,3487392.874,283309.5045,3487424.234,283062.9945,3486471.574,282941.7945,3486440.204,283188.3045
16-22,R1,CP69,یکشنبه,4,3488542.954,282425.5945,3488574.314,282179.0845,3487621.654,282057.8845,3487590.294,282304.3945
16-24,R3,CP69,یکشنبه,4,3488575.584,282169.1545,3488606.944,281922.6445,3487654.284,281801.4445,3487622.924,282047.9545
16-27,P,CP69,دوشنبه,4,3487618.964,281532.3345,3487652.214,281270.9845,3486699.924,281146.8445,3486666.304,281411.1445
17-02,P,cp69,دوشنبه,3,3487154.104,285186.3145,3487186.394,284932.5145,3486233.694,284811.5832,3486201.444,285065.1245
17-08,R1,CP48,دوشنبه,3,3487056.984,285949.6745,3487088.344,285703.1545,3486135.684,285581.9645,3486104.324,285828.4745
17-09,P,cp73,یکشنبه,3,3488046.234,286330.0545,3488077.594,286083.5445,3487124.934,285962.3445,3487093.574,286208.8545
17-11,R3,CP73,یکشنبه,3,3488013.604,286586.4845,3488044.964,286339.9745,3487092.304,286218.7745,3487060.944,286465.2845
17-19,R2,CP73,دوشنبه,3,3487884.624,287600.3145,3487915.984,287353.8045,3486963.334,287232.6045,3486931.964,287479.1145
17-24,R4,CP48,دوشنبه,3,3488815.404,288233.8545,3488846.764,287987.3445,3487892.714,287865.9645,3487861.354,288112.4845
17-26,R1,CP69,دوشنبه,3,3488783.544,288484.3345,3488814.904,288237.8245,3487860.854,288116.4445,3487829.494,288362.9545
17-27,R2,CP69,دوشنبه,3,3487761.403,288568.819,3487787.004,288367.6345,3486834.354,288246.4345,3486800.79,288510.3131
18-02,R5,CP73,سه شنبه,4,3486205.494,284708.3632,3486237.424,284457.3845,3485284.764,284336.1945,3485252.844,284587.1645
18-03,R1,CP48,سه شنبه,4,3485217.584,284317.5545,3485248.944,284071.0445,3484296.284,283949.8445,3484264.924,284196.3545
18-06,R2,CP48,دوشنبه,4,3486270.554,284196.9745,3486301.924,283950.4545,3485349.264,283829.2545,3485317.894,284075.7745
18-10,R2,CP73,دوشنبه,4,3486335.044,283690.0545,3486366.414,283443.5445,3485413.754,283322.3445,3485382.384,283568.8545
18-13,R1,CP73,سه شنبه,4,3485378.424,283053.2245,3485409.794,282806.7145,3484457.134,282685.5245,3484425.764,282932.0045
18-16,R1,CP69,دوشنبه,4,3486432.164,282926.7045,3486462.484,282688.3745,3485509.824,282567.1745,3485479.504,282805.5045
18-17,R5,CP69,سه شنبه,4,3485443.954,282538.1445,3485474.274,282299.8145,3484521.614,282178.6145,3484491.294,282416.9445
18-18,R2,CP69,دوشنبه,4,3486465.064,282668.0445,3486495.394,282429.7145,3485542.724,282308.5145,3485512.404,282546.8445
18-24,P,CP69,دوشنبه,4,3486561.144,281912.8745,3486592.504,281666.3645,3485639.844,281545.1645,3485608.484,281791.6745
18-26,P,IRC99-07,دوشنبه,4,3486593.004,281662.3745,3486624.364,281415.8845,3485671.704,281294.6845,3485640.344,281541.1945
19-05,R5,CP69,دوشنبه,3,3486096.274,285566.8745,3486127.644,285320.3445,3485174.984,285199.1545,3485143.614,285445.6745
19-04,R1,CP48,چهارشنبه,3,3487121.474,285442.7645,3487152.834,285196.2445,3486200.174,285075.0545,3486168.814,285321.5645
19-08,R2,CP48,چهارشنبه,3,3485042.544,285693.3945,3485073.904,285446.8845,3484121.244,285325.6845,3484089.884,285572.1945
19-13,P,CP73,سه شنبه,3,3485967.304,286580.6845,3485998.664,286334.1745,3485046.004,286212.9845,3485014.644,286459.4845
19-15,R1,CP69,سه شنبه,3,3485935.024,286834.3945,3485966.034,286590.6145,3485013.374,286469.4145,3484982.364,286713.1945
19-18,R5,CP73,سه شنبه,3,3484881.704,286957.7045,3484912.024,286719.3745,3483959.364,286598.1745,3483929.044,286836.5045
19-19,R1,CP73,سه شنبه,3,3485870.184,287344.0345,3485901.554,287097.5245,3484948.884,286976.3245,3484917.524,287222.8445
19-21,R1,CP70,سه شنبه,3,3485838.324,287594.5145,3485869.684,287348.0045,3484917.024,287226.8145,3484885.664,287473.3145
19-22,P,CP69,سه شنبه,3,3484817.214,287464.6145,3484848.574,287218.1045,3484365.935,287156.7019,3484284.322,287396.8185
19-23,R4,CP73,سه شنبه,3,3485805.694,287850.9545,3485837.054,287604.4445,3484884.394,287483.2445,3484853.034,287729.7645
19-25,R4,CP69,سه شنبه,3,3485773.834,288101.4345,3485805.194,287854.9245,3484852.534,287733.7345,3484821.174,287980.2345
20-05,P,CP48,چهارشنبه,4,3483236.984,283811.0445,3483268.354,283564.5245,3482315.694,283443.2745,3482284.324,283689.8445
20-06,R1,CP48,چهارشنبه,4,3484256.114,283940.6945,3484287.484,283694.1745,3483334.814,283572.9745,3483303.444,283819.5045
20-08,R1,CP57,چهارشنبه,4,3484288.744,283684.2545,3484320.104,283437.7445,3483367.434,283316.5445,3483336.074,283563.0545
20-09,R1,CP73,چهارشنبه,4,3483301.474,283304.1245,3483332.834,283057.6145,3482498.514,282951.4645,3482355.574,283183.7845
20-12,R2,CP73,چهارشنبه,4,3484353.234,283177.3345,3484384.594,282930.8245,3483431.924,282809.6245,3483400.564,283056.1345
20-13,P,CP73,چهارشنبه,4,3483365.964,282797.2045,3483397.334,282550.6945,3482792.454,282473.7445,3482649.514,282706.0545
20-14,R2,CP69,چهارشنبه,4,3484385.094,282926.8545,3484416.464,282680.3445,3483463.794,282559.1445,3483432.424,282805.6545
20-24,R1,CP69,سه شنبه,4,3484546.704,281656.5945,3484578.064,281410.0845,3483625.394,281288.8945,3483594.034,281535.4045
20-26,P,CP69,سه شنبه,4,3484578.564,281406.1145,3484609.924,281159.6045,3483657.254,281038.4145,3483625.894,281284.9245
20-28,R3,CP69,سه شنبه,4,3484611.194,281149.6845,3484641.804,280909.0845,3483690.764,280775.0645,3483658.524,281028.4945
21-03,R2,CP69,چهارشنبه,3,3484113.704,285060.1145,3484145.034,284813.5945,3483192.404,284692.4045,3483161.044,284938.9145
21-09,R2,CP73,چهارشنبه,3,3484017.354,285817.4945,3484048.714,285570.9945,3483096.054,285449.7945,3483064.694,285696.3045
21-15,R4,CP69,چهارشنبه,3,3483920.574,286578.1245,3483951.594,286334.3445,3482998.934,286213.1445,3482971.035,286432.4669
22-05,R1,CP69,پنجشنبه,4,3481879.717,283688.8306,3482010.732,283475.9139,3481508.204,283166.7145,3481304.434,283334.8645
22-17,P,CP65,پنجشنبه,4,3482687.83,282375.5412,3482818.846,282162.6244,3482570.371,282009.7515,3482429.767,282192.6925
22-21,P,CP69,پنجشنبه,4,3482905.587,281558.585,3482727,281796,3482957.818,281938.6281,3483125.727,281672.508
23-07,P,CP69,چهارشنبه,3,3482012.944,285307.9645,3482044.304,285061.4545,3481223.395,284957.0174,3481080.719,285189.373
23-11,R5,CP69,چهارشنبه,3,3481948.454,285814.8745,3481979.814,285568.3645,3480930.012,285434.8096,3480902.654,285479.363
23-13,R2,CP69,چهارشنبه,3,3481916.594,286065.3545,3481947.954,285818.8445,3481267.993,285732.3449,3481511.895,285901.2364
24-03,P,CP69,پنجشنبه,4,3480838.534,282697.3145,3480873.334,282449.7545,3479784.034,282296.6545,3479749.234,282544.2145
24-04,P,CP69,پنجشنبه,4,3481617.646,282806.8181,3481716.767,282568.2936,3480942.654,282459.4945,3480907.854,282707.0545
24-08,R1,CP69,پنجشنبه,4,3481821.442,282316.4074,3481920.564,282077.8829,3481014.184,281950.4945,3480979.394,282198.0645
24-11,R3,CP69,پنجشنبه,4,3480981.604,281679.3245,3481016.404,281431.7545,3479927.104,281278.6545,3479892.304,281526.2245
24-15,R2,CP69,پنجشنبه,4,3481053.144,281170.3245,3481087.934,280922.7545,3479998.634,280769.6545,3479963.844,281017.2245
25-03,R1,CP69,پنجشنبه,3,3481455.828,284187.9052,3481273.374,283802.9945,3480951.014,283626.5045,3480743.374,283797.8445
25-07,R4,CP69,پنجشنبه,3,3481193.444,284630.242,3481324.626,284417.0475,3480524.104,283978.7745,3480316.464,284150.1045
25-09,R3,CP69,پنجشنبه,3,3481057.016,284851.9627,3481188.198,284638.7683,3480308.164,284156.9645,3480100.524,284328.2945
25-13,P,CP69,پنجشنبه,3,3480787.302,285290.296,3480918.488,285077.0941,3479881.254,284509.2245,3479673.614,284680.5645
26-02,R1,CP69,پنجشنبه,2,3479668.504,282795.4345,3479703.294,282547.8745,3478713.024,282408.6945,3478678.234,282656.2545
26-08,P,CP69,پنجشنبه,2,3479776.224,282028.9745,3479811.014,281781.4045,3478820.744,281642.2245,3478785.954,281889.7945
26-09,R2,CP69,پنجشنبه,2,3478751.984,281628.5245,3478786.774,281380.9545,3478097.549,281284.0884,3478059.021,281531.1313
26-14,R5,CP69,پنجشنبه,2,3479883.104,281268.4445,3479917.904,281020.8745,3478927.634,280881.6945,3478892.834,281129.2645
26-15,P,CP69,پنجشنبه,2,3478859.704,280862.0545,3478894.494,280614.4845,3478216.832,280519.2431,3478178.304,280766.2872
26-18,R4,CP69,پنجشنبه,2,3479954.644,280759.4445,3479989.434,280511.8845,3478999.164,280372.7045,3478964.374,280620.2645
27-01,R5,CP69,پنجشنبه,3,3481052.824,283335.3545,3480924.614,283064.8745,3479801.397,282907.0193,3479752.927,282892.6369
29-02,P,CP69,پنجشنبه,3,3478568.865,282931.4536,3478607.527,282656.4199,3477899.053,282556.8486,3477878.61,282687.9292
